_date_	ch_lmpiwpi
1990-01-01	NA
1990-02-01	NA
1990-03-01	NA
1990-04-01	NA
1990-05-01	NA
1990-06-01	NA
1990-07-01	NA
1990-08-01	NA
1990-09-01	NA
1990-10-01	NA
1990-11-01	NA
1990-12-01	NA
1991-01-01	NA
1991-02-01	NA
1991-03-01	NA
1991-04-01	NA
1991-05-01	NA
1991-06-01	NA
1991-07-01	NA
1991-08-01	NA
1991-09-01	NA
1991-10-01	NA
1991-11-01	NA
1991-12-01	NA
1992-01-01	0.21497224933947172
1992-02-01	0.25972785343173592
1992-03-01	0.2443268076341206
1992-04-01	0.30004794076925288
1992-05-01	0.21496113875988176
1992-06-01	0.26664464530251704
1992-07-01	0.3281059802128538
1992-08-01	0.27397487960426116
1992-09-01	0.2727271148778122
1992-10-01	0.29655685006343724
1992-11-01	0.2988955375753972
1992-12-01	0.24287929858092184
1993-01-01	0.1986253278637258
1993-02-01	0.23127847782317424
1993-03-01	0.21261822424628608
1993-04-01	0.2833716237988226
1993-05-01	0.2168998967876658
1993-06-01	0.30041084168697364
1993-07-01	0.32779571513166596
1993-08-01	0.29902995891318412
1993-09-01	0.31832481264223196
1993-10-01	0.3219412779408994
1993-11-01	0.31807395147067676
1993-12-01	0.2788708466662732
1994-01-01	0.074646675834829568
1994-02-01	0.086267523784678896
1994-03-01	0.067685638668625144
1994-04-01	0.1200481755040872
1994-05-01	0.058962809841259992
1994-06-01	0.078795885149753296
1994-07-01	0.11246199116143204
1994-08-01	0.10921199215778494
1994-09-01	0.11723964515465734
1994-10-01	0.11513551077159264
1994-11-01	0.13817112092301678
1994-12-01	0.095315350855979952
1995-01-01	0.063692620868981544
1995-02-01	0.086392101844205168
1995-03-01	0.090955819845845152
1995-04-01	0.10129423205694596
1995-05-01	0.095658989269181568
1995-06-01	0.14027420710854962
1995-07-01	0.1786848662392734
1995-08-01	0.15237478779537878
1995-09-01	0.15932542923938348
1995-10-01	0.1833348303501072
1995-11-01	0.17163702666574112
1995-12-01	0.12270734070440468
1996-01-01	0.11292629257818512
1996-02-01	0.12869503316218404
1996-03-01	0.08687584578344696
1996-04-01	0.099714364421142752
1996-05-01	0.096623182152292576
1996-06-01	0.13334108768414422
1996-07-01	0.16214265559017774
1996-08-01	0.11715814292468998
1996-09-01	0.13324729021803344
1996-10-01	0.13436099178354894
1996-11-01	0.12761444178022948
1996-12-01	0.0995749515488236
1997-01-01	0.085019804924547552
1997-02-01	0.11689067933323888
1997-03-01	0.08433744365266328
1997-04-01	0.12877652036829374
1997-05-01	0.12612709800896496
1997-06-01	0.16446159338055318
1997-07-01	0.19966960111017156
1997-08-01	0.16348224984282824
1997-09-01	0.19216482131977088
1997-10-01	0.19540032701513184
1997-11-01	0.17639634601322118
1997-12-01	0.1932286179447176
1998-01-01	0.19965963332669284
1998-02-01	0.21311816910724956
1998-03-01	0.1828639398338844
1998-04-01	0.2100655046755486
1998-05-01	0.20725850383370644
1998-06-01	0.25363168865344536
1998-07-01	0.29308496705913816
1998-08-01	0.26724356118699216
1998-09-01	0.27205419305950236
1998-10-01	0.28508961024163228
1998-11-01	0.29192901520848384
1998-12-01	0.30391643797384416
1999-01-01	0.26801844204962148
1999-02-01	0.30342361777001364
1999-03-01	0.22733541989331048
1999-04-01	0.2411265010681754
1999-05-01	0.25046867177443388
1999-06-01	0.27884961214812164
1999-07-01	0.28325185367925464
1999-08-01	0.23449072494255328
1999-09-01	0.2433486215571602
1999-10-01	0.2427000588910992
1999-11-01	0.22427904216399168
1999-12-01	0.18349130374136568
2000-01-01	0.183319150875842
2000-02-01	0.18266493897726328
2000-03-01	0.11581848462616442
2000-04-01	0.19526093062422532
2000-05-01	0.16168560365330126
2000-06-01	0.19252476461488636
2000-07-01	0.2196847825139924
2000-08-01	0.19671494967351688
2000-09-01	0.19970820114708944
2000-10-01	0.19084476681642892
2000-11-01	0.19265402115717708
2000-12-01	0.20183873156034552
2001-01-01	0.16950633072506976
2001-02-01	0.19474979791118944
2001-03-01	0.14455757849096806
2001-04-01	0.18100341820758672
2001-05-01	0.16986557134619038
2001-06-01	0.20808073222086568
2001-07-01	0.23553798243010232
2001-08-01	0.22731234475816724
2001-09-01	0.2562261699117484
2001-10-01	0.29060429166142772
2001-11-01	0.30835686964639624
2001-12-01	0.28030020848616556
2002-01-01	0.25543990830865664
2002-02-01	0.27733354778340528
2002-03-01	0.1893967287514952
2002-04-01	0.19405022172225212
2002-05-01	0.21183986290225688
2002-06-01	0.24031915776215556
2002-07-01	0.23465462764836408
2002-08-01	0.23848530221504764
2002-09-01	0.22604763671365148
2002-10-01	0.24369074940322096
2002-11-01	0.25601524941393648
2002-12-01	0.20191436218191836
2003-01-01	0.1721787627813904
2003-02-01	0.18792226384653536
2003-03-01	0.17229009429822168
2003-04-01	0.21755951492194628
2003-05-01	0.23322037240044928
2003-06-01	0.24690624235113144
2003-07-01	0.2514937172433992
2003-08-01	0.24255605736419652
2003-09-01	0.25234961368284376
2003-10-01	0.23807121399256584
2003-11-01	0.23214440669998672
2003-12-01	0.20405149022648712
2004-01-01	0.09325091131037336
2004-02-01	0.10707235175165826
2004-03-01	0.075485085203240192
2004-04-01	0.075376893992781536
2004-05-01	0.064903885867497848
2004-06-01	0.091002724080953536
2004-07-01	0.08242794671098624
2004-08-01	0.068523465640550912
2004-09-01	0.064048892814252648
2004-10-01	0.049375138748054344
2004-11-01	0.068550234684460376
2004-12-01	0.070639337055607408
2005-01-01	0.086131258004516432
2005-02-01	0.054867032206625536
2005-03-01	0.026714207766665344
