date	LIP_Y_US_SA_NEW
1997-11-01	1.282699414
1997-12-01	1.283062186
1998-01-01	1.28296781
1998-02-01	1.281500591
1998-03-01	1.280764298
1998-04-01	1.281801437
1998-05-01	1.278385532
1998-06-01	1.282434237
1998-07-01	1.266970767
1998-08-01	1.279057993
1998-09-01	1.278654023
1998-10-01	1.276602924
1998-11-01	1.274577518
1998-12-01	1.274241202
1999-01-01	1.274100854
1999-02-01	1.27610904
1999-03-01	1.271622407
1999-04-01	1.277057709
1999-05-01	1.279279891
1999-06-01	1.277289638
1999-07-01	1.273424534
1999-08-01	1.274798714
1999-09-01	1.272654938
1999-10-01	1.276155159
1999-11-01	1.275311453
1999-12-01	1.276245073
2000-01-01	1.279919723
2000-02-01	1.280904186
2000-03-01	1.276708664
2000-04-01	1.274684716
2000-05-01	1.277940499
2000-06-01	1.272856573
2000-07-01	1.272974181
2000-08-01	1.275049452
2000-09-01	1.269721871
2000-10-01	1.268333003
2000-11-01	1.267248877
2000-12-01	1.262749333
2001-01-01	1.2544974
2001-02-01	1.253298648
2001-03-01	1.25002997
2001-04-01	1.243993843
2001-05-01	1.234924129
2001-06-01	1.231338707
2001-07-01	1.225097585
2001-08-01	1.226416194
2001-09-01	1.226558823
2001-10-01	1.213652574
2001-11-01	1.213316436
2001-12-01	1.212157056
2002-01-01	1.209830906
2002-02-01	1.209416393
2002-03-01	1.208299979
2002-04-01	1.219394056
2002-05-01	1.223640242
2002-06-01	1.219270994
2002-07-01	1.226282541
2002-08-01	1.221413694
2002-09-01	1.218627974
2002-10-01	1.218742137
2002-11-01	1.222737151
2002-12-01	1.221051657
2003-01-01	1.222183134
2003-02-01	1.221264237
2003-03-01	1.217425399
2003-04-01	1.205685144
2003-05-01	1.205838367
2003-06-01	1.203485781
2003-07-01	1.20324906
2003-08-01	1.193345017
2003-09-01	1.190269593
2003-10-01	1.192387256
2003-11-01	1.193251923
2003-12-01	1.193734407
2004-01-01	1.197511423
2004-02-01	1.193602689
2004-03-01	1.190879025
2004-04-01	1.194238044
2004-05-01	1.193171512
2004-06-01	1.189471691
2004-07-01	1.18919992
2004-08-01	1.190628994
2004-09-01	1.18973203
2004-10-01	1.193270833
2004-11-01	1.195030133
2004-12-01	1.196648679
2005-01-01	1.195505479
2005-02-01	1.199295484
2005-03-01	1.198528221
2005-04-01	1.195007208
2005-05-01	1.200079123
2005-06-01	1.197910536
2005-07-01	1.18511062
2005-08-01	1.188061841
2005-09-01	1.184575723
2005-10-01	1.18720881
2005-11-01	1.190299596
2005-12-01	1.191548485
2006-01-01	1.187368323
2006-02-01	1.187466283
2006-03-01	1.182370036
2006-04-01	1.195955113
2006-05-01	1.186973411
2006-06-01	1.185381638
2006-07-01	1.190842059
2006-08-01	1.195730794
2006-09-01	1.19301323
2006-10-01	1.184900385
2006-11-01	1.187281308
2006-12-01	1.190205987
2007-01-01	1.194310583
2007-02-01	1.194457625
2007-03-01	1.192137776
2007-04-01	1.202656147
2007-05-01	1.199103507
2007-06-01	1.19794777
2007-07-01	1.195659174
2007-08-01	1.198191226
2007-09-01	1.195092713
2007-10-01	1.193332936
2007-11-01	1.195260514
2007-12-01	1.199547548
2008-01-01	1.195243589
2008-02-01	1.196218614
2008-03-01	1.197754371
2008-04-01	1.177222023
2008-05-01	1.179756878
2008-06-01	1.179421739
2008-07-01	1.145942958
2008-08-01	1.154754376
2008-09-01	1.149552448
2008-10-01	1.128694626
2008-11-01	1.129324603
2008-12-01	1.127513822
2009-01-01	1.078573673
2009-02-01	1.081762925
2009-03-01	1.083644104
2009-04-01	1.062020593
2009-05-01	1.054863153
2009-06-01	1.052915772
2009-07-01	1.062594085
2009-08-01	1.068908207
2009-09-01	1.072374355
2009-10-01	1.07471603
2009-11-01	1.074584649
2009-12-01	1.075365313
2010-01-01	1.085117905
2010-02-01	1.087895299
2010-03-01	1.088032965
2010-04-01	1.10048024
2010-05-01	1.099821632
2010-06-01	1.097790361
2010-07-01	1.102589332
2010-08-01	1.105246377
2010-09-01	1.106540133
2010-10-01	1.101039358
2010-11-01	1.10364381
2010-12-01	1.103721512
2011-01-01	1.108319427
2011-02-01	1.111751878
2011-03-01	1.109928482
2011-04-01	1.109306834
2011-05-01	1.108511573
2011-06-01	1.107258727
2011-07-01	1.114327634
2011-08-01	1.119430307
2011-09-01	1.118006846
2011-10-01	1.116730988
2011-11-01	1.116687425
2011-12-01	1.117939441
2012-01-01	1.118945266
2012-02-01	1.118298452
2012-03-01	1.117860805
2012-04-01	1.121895998
2012-05-01	1.120334531
2012-06-01	1.120350008
2012-07-01	1.119312632
2012-08-01	1.120664386
2012-09-01	1.119293392
2012-10-01	1.124721995
2012-11-01	1.124671448
2012-12-01	1.127197167
2013-01-01	1.124030018
2013-02-01	1.125064515
2013-03-01	1.126692854
2013-04-01	1.125897557
2013-05-01	1.128173088
2013-06-01	1.129513419
2013-07-01	1.12303486
2013-08-01	1.124943053
2013-09-01	1.123487775
2013-10-01	1.12027744
2013-11-01	1.120769745
2013-12-01	1.124161964
2014-01-01	1.1308599
2014-02-01	1.130227381
2014-03-01	1.129531726
2014-04-01	1.133667785
2014-05-01	1.132109834
2014-06-01	1.133215412
2014-07-01	1.130081691
2014-08-01	1.126338772
2014-09-01	1.123611588
2014-10-01	1.126364271
2014-11-01	1.127649632
2014-12-01	1.1304238
2015-01-01	1.113518996
2015-02-01	1.108578387
2015-03-01	1.109274021
2015-04-01	1.095280124
2015-05-01	1.090341217
2015-06-01	1.088521692
2015-07-01	1.089296688
2015-08-01	1.086250003
2015-09-01	1.089016539
2015-10-01	1.071537871
2015-11-01	1.073081081
2015-12-01	1.078269952
2016-01-01	1.066966957
2016-02-01	1.063368902
2016-03-01	1.068583839
2016-04-01	1.057548784
2016-05-01	1.05761784
2016-06-01	1.054701986
2016-07-01	1.057431365
2016-08-01	1.05331059
2016-09-01	1.051245459
2016-10-01	1.048132173
2016-11-01	1.050606263
2016-12-01	1.053010042
2017-01-01	1.050663526
2017-02-01	1.047362101
2017-03-01	1.046145559
2017-04-01	1.062477951
2017-05-01	1.050597319
2017-06-01	1.04914921
2017-07-01	1.045416102
2017-08-01	1.045089489
2017-09-01	1.041110308
2017-10-01	1.053723274
2017-11-01	1.054028595
2017-12-01	1.05607264
2018-01-01	1.053075317
2018-02-01	1.052298625
2018-03-01	1.053102119

