_date_	alu_fut	au_lrdr	au_tb10y2y	bank_g1	bank_g2	bank_g3	bond_g1	bond_g2	bond_g3	bond_g4	bond_g5	bond_g6	bond_g7	br_cmr	br_ppp	ca_m1lb	ca_ppp	ca_tb20y10y	copper_fut	corn_fut	es_ppp	es_tb30y1y	forex_g1	forex_g2	forex_g3	forex_g4	forex_g5	fr_m1lb	futures_g1	futures_g2	futures_g3	gold_fut	in_ppp	it_teds	jp_ov3mintbnk	jp_tb20y10y	kr_cmr	money_g1	money_g2	money_g3	money_g4	my_lrdr	ph_cmr	ph_ppp	sg_ppp	soyb_fut	stock_g1	stock_g2	th_cmr	tw_ov3mintbnk	wheat_fut
1990-01-01	NA	-2.6280570700000008	-1	NA	1.2558317375865568	NA	NA	-0.14200000000000034	-1.9000000000000004	NA	0.1900000000000004	NA	NA	NA	0	0.22347844290122052	1.6483685607754746	-0.17999999999999972	-0.02100000000000002	8.00	1.264183055037492	1.2810000000000006	NA	1.1393001106810142	1.5847964966338148	1.453194189639774	2.0205765773389272	0.12092296730184832	-5.26	NA	NA	11	0.53660828944771	NA	-0.4375	-0.42600000000000016	NA	-0.10525000000000028	NA	NA	NA	3.84000000	NA	0.655786974799482	1.7743407337467234	28.00	NA	NA	NA	-0.82000000000000032	-21.75
1990-02-01	NA	-1.7221467399999996	-1	NA	1.3274575199652718	NA	NA	-0.30050000000000044	-2.2899999999999992	NA	0.20999999999999996	NA	NA	NA	0	0.2181593489109312	1.6302727601342656	-0.30000000000000072	-0.076999999999999952	8.00	1.2500643294256256	0.78800000000000032	NA	1.126751424243524	1.5648552681753404	1.4361801681790288	1.9854142659376444	0.11452480041265636	-3.705	NA	NA	8.3999999999999776	0.53022598745655088	NA	-0.625	-0.70299999999999944	NA	-0.12250000000000004	NA	NA	NA	3.92000000	NA	0.64723904877321768	1.7468662419750518	29.50	NA	NA	NA	-1.17	-41.75
1990-03-01	NA	-1.0578125000000008	-0.71000000000000088	NA	1.3987125247592548	NA	NA	-0.30600000000000004	-2.4800000000000004	NA	0.14000000000000056	NA	NA	NA	0	0.2130879973714004	1.6410949511763848	-0.10000000000000142	-0.12649999999999984	-7.00	1.258074142763862	0.86200000000000016	NA	1.1382403460869822	1.5733942352013446	1.4451032281749814	2.0012865559368676	0.1148647988442238	-0.90000000000000032	NA	NA	9.4000000000000336	0.53790623512409	NA	-0.5625	-0.58999999999999984	NA	0.035500000000000308	NA	NA	NA	3.80000000	NA	0.6521590797729616	1.746774039377136	19.25	NA	NA	NA	-0.73000000000000048	5.75
1990-04-01	NA	-0.7122962000000008	-0.66000000000000016	0.99512828811160944	1.1710691928749208	0.4893994210071936	NA	-0.34600000000000008	-2.295	NA	0.20999999999999996	NA	NA	NA	0	0.21552719570422636	1.6232494667952692	-0.26999999999999956	-0.09600000000000008	-10.00	1.2473210886270232	0.26400000000000112	NA	1.1372235117408542	1.5716538457812628	1.4339746513570196	1.9979370775678552	0.11562986695456428	-0.28500000000000016	NA	NA	7.9000000000000336	0.54108315559842304	NA	-0.125	-0.057999999999999832	NA	0.012500000000000178	NA	NA	NA	3.54000000	NA	0.65114340356849752	1.7374710353743106	22.75	NA	NA	NA	-0.8800000000000008	-9.50
1990-05-01	NA	-0.6519021699999996	-0.59999999999999968	0.99570397870931008	1.2157296987423762	0.50555513382268536	NA	-0.23449999999999972	-2.6400000000000012	NA	0.17999999999999972	NA	NA	NA	0	0.21503141419159584	1.627361318514234	-0.37999999999999904	-0.05500000000000016	-3.25	1.243937572367062	-0.041000000000000368	NA	1.1427838042248966	1.57590565714994	1.4335486433797464	2.0063863348623208	0.11366820456291296	3.6550000000000008	NA	NA	9.0999999999999664	0.5456976285584432	0.074370000000000048	0.0625	-0.026999999999999248	NA	-0.03874999999999984	NA	NA	-0.60936	3.13000000	NA	0.65382073267884776	1.737244424387218	15.00	NA	NA	NA	-1.0399999999999992	26.75
1990-06-01	NA	-0.4103260900000016	-0.66000000000000016	0.99606776189105856	1.2331546418314924	0.4980627730418916	NA	-0.24500000000000012	-2.6599999999999992	NA	0.17399999999999948	NA	NA	NA	0	0.21388469728070144	1.6658314349373476	-0.22000000000000064	-0.031500000000000084	-1.25	1.2723240390763658	-0.12800000000000012	NA	1.1709099433934904	1.610750324041296	1.4645428495996378	2.0390517367998412	0.11975534617523036	3.6299999999999992	NA	NA	6.2000000000000456	0.56544978257703528	-0.14000000000000056	-0.15620000000000012	-0.20400000000000064	NA	0.00749999999999984	NA	NA	-0.62115000000000008	3.09000000	NA	0.67275834309965584	1.7741194195272548	27.00	NA	NA	NA	-5.1300000000000008	26.50
1990-07-01	NA	-0.34993207000000128	-0.58999999999999984	0.74460144117911856	1.2427688082441916	0.50710258256025984	NA	-0.3855000000000004	-2.4799999999999996	NA	0.34450000000000048	NA	NA	NA	0	0.21506030626982376	1.711436769228022	-0.20000000000000108	-0.045499999999999872	8.75	1.3196345533646928	-0.21199999999999976	NA	1.2015037379956154	1.6470674486049798	1.5016232546812236	2.0900508284543176	0.11876443182618428	2.8599999999999988	NA	NA	9.1999999999999888	0.59138519815015776	0.20062000000000068	-0.25	-0.22700000000000032	NA	-0.044999999999999928	NA	NA	-0.48672666666666648	3.05000000	NA	0.69799664991617504	1.8164964401616492	26.75	NA	NA	NA	-1.2200000000000006	26.25
1990-08-01	NA	0.73716033	0.18999999999999952	0.7446064084835976	1.2690105838030126	0.502053364581008	NA	-0.35650000000000004	-1.6499999999999996	NA	0.61099999999999976	NA	NA	NA	0	0.20924024710974744	1.6876487959055634	-0.060000000000000496	-0.052499999999999992	6.00	1.3053084478629494	0.19100000000000072	NA	1.1867287030154708	1.6330108848216454	1.485787345507172	2.078088248315016	0.11337110812006716	-0.48499999999999944	NA	NA	6.8999999999999776	0.58538832882129576	0.63749999999999928	-0.46870000000000016	-0.29300000000000016	NA	0.1274999999999995	NA	NA	-0.6556933333333328	2.80000000	NA	0.68883026931402928	1.7952641569466306	39.00	NA	NA	NA	0.23999999999999844	33.00
1990-09-01	NA	0.97031250000000032	0.62000000000000096	0.49469450251828704	1.1970755855541944	0.50445399892504872	NA	-0.4745000000000004	-0.86000000000000032	NA	0.62849999999999936	NA	NA	NA	0	0.20883419958154508	1.6644094602638348	-0.27999999999999936	-0.10200000000000008	18.50	1.2976293087336284	0.67300000000000008	NA	1.173481874525614	1.6173012114254484	1.4718953899848112	2.0838658375720168	0.11752327242449306	-14.68	NA	NA	10.100000000000024	0.57882877032231808	-0.13874999999999992	-0.34370000000000012	-0.55900000000000016	NA	0.40249999999999984	NA	NA	-0.83848333333333344	2.67000000	NA	0.68519455372547624	1.7781074353876498	36.75	NA	NA	NA	-0.49000000000000024	25.00
1990-10-01	NA	1.6262228299999996	0.77999999999999936	0.4949718782369288	1.2877096532253858	0.502206530117796	NA	-0.24500000000000012	-1.0600000000000004	NA	0.6635	NA	NA	NA	0	0.21374382361501728	1.6809607659767008	-0.019999999999999576	-0.055500000000000104	20.75	1.310587928	0.17500000000000072	NA	1.1886857068982364	1.6306008953874484	1.4809526613595452	2.0790398185111528	0.11527403004667444	-17.909999999999996	NA	NA	5.8000000000000112	0.59175926174069904	0.68436999999999944	-0.25	-0.0099999999999997872	NA	0.068749999999999648	NA	NA	-0.52444333333333312	2.44000000	NA	0.69941922065210496	1.7941328907183248	44.25	NA	NA	NA	-2.04	26.50
